mirnaid;refseqid;genesymbol;start;end;bindingp;energy;seed;accessibility;au;phylopstem;phylopflank;me;number_of_pairings;binding_region_length;longest_consecutive_pairings;position;validated;TargetScan;miRDB
mmu-miR-132-3p;XM_017319977;Gnb1;1303;1317;1.0;-20.1;1;0.0001393551;0.456;0.0;0.0;-14.985.014.105.259.300;13;14;13;3UTR;;1;1
mmu-miR-132-3p;XM_006538952;Slc35e2;6488;6528;0.923076923077;-24.8;1;0.000137339;0.441;0.0;0.0;-6.514.540.193.678.730;17;40;11;3UTR;;0;0
mmu-miR-132-3p;XM_006538952;Slc35e2;4321;4355;0.923076923077;-25.3;1;0.0002747607;0.441;0.0;0.0;-6.514.540.193.678.730;17;20;14;3UTR;;0;0
mmu-miR-132-3p;XM_006538952;Slc35e2;1425;1442;0.923076923077;-22.9;1;4,15E+01;0.309;0.0;0.0;-11.150.474.115.941.300;14;17;8;5UTR;;0;0
mmu-miR-132-3p;NM_177186;Slc35e2;5226;5279;0.923076923077;-25.4;1;0.000137339;0.441;0.0;0.0;-6.514.540.193.678.730;17;41;11;3UTR;;0;0
mmu-miR-132-3p;NM_177186;Slc35e2;3072;3106;0.923076923077;-25.3;1;0.0002747607;0.441;0.0;0.0;-6.514.540.193.678.730;17;20;14;3UTR;;0;0
mmu-miR-132-3p;XM_006538510;Cdk11b;1961;1980;0.846153846154;-20.9;1;0.00378225;0.485;0.0;0.0;-5.925.499.359.926.530;15;19;9;CDS;;0;0
mmu-miR-132-3p;XM_006538510;Cdk11b;57;77;0.846153846154;-21.3;1;1,80E-02;0.382;0.0;0.0;-7.488.945.926.249.840;15;20;9;5UTR;;0;0
mmu-miR-132-3p;NM_007661;Cdk11b;1899;1918;0.846153846154;-20.9;1;0.00378225;0.485;0.0;0.0;-5.925.499.359.926.530;15;19;9;CDS;;0;0
mmu-miR-132-3p;NM_007661;Cdk11b;42;62;0.846153846154;-21.3;1;1,07E-02;0.382;0.0;0.0;-7.488.945.926.249.840;15;20;9;5UTR;;0;0
mmu-miR-132-3p;XM_011250179;Cdk11b;1891;1938;0.846153846154;-21.0;1;0.00378225;0.485;0.0;0.0;-5.925.499.359.926.530;15;20;9;CDS;;0;0
mmu-miR-132-3p;NM_011985;Mmp23;454;471;0.846153846154;-22.2;1;5,58E-02;0.397;0.0;0.0;-11.360.120.329.736.900;15;17;11;CDS;;0;0
mmu-miR-132-3p;NM_145124;Mib2;1690;1705;1.0;-21.7;1;6,33E+01;0.471;0.0;0.0;-14.985.014.105.259.300;14;15;14;CDS;;0;0
mmu-miR-132-3p;NM_145124;Mib2;3638;3658;0.923076923077;-19.7;1;0.0004837084;0.5;0.0;0.0;-1.490.810.611.177.850;14;20;10;3UTR;;0;0
mmu-miR-132-3p;NM_145124;Mib2;1419;1435;0.846153846154;-20.0;1;0.0002244174;0.397;0.0;0.0;-8.100.465.948.893.510;15;16;15;CDS;;0;0
mmu-miR-132-3p;NM_178699;B930041F14Rik;703;724;0.846153846154;-20.8;1;5,05E+00;0.397;0.0;0.0;-17.012.402.953.046.700;16;21;7;CDS;;0;0
mmu-miR-132-3p;NM_026899;Ssu72;914;937;0.923076923077;-22.8;1;0.004365128;0.5;0.0;0.0;-6.747.589.273.982.350;18;23;15;CDS;;0;0
mmu-miR-132-3p;NM_179203;Atad3a;2199;2215;0.846153846154;-19.5;1;0.002983015;0.353;0.0;0.0;-1.796.592.966.749.250;13;16;9;3UTR;;0;0
mmu-miR-132-3p;NM_147776;Vwa1;3053;3070;0.923076923077;-21.7;1;1,37E+01;0.456;0.0;0.0;-15.141.155.192.082.100;14;17;9;3UTR;;0;0
mmu-miR-132-3p;NM_147776;Vwa1;568;597;0.923076923077;-20.5;1;1,61E+01;0.368;0.0;0.0;-41.706.235.265.052.700;21;29;6;CDS;;0;0
mmu-miR-132-3p;NM_001033394;Tmem88b;1827;1843;0.846153846154;-17.1;1;0.001979672;0.721;0.0;0.0;-14.634.098.284.004.600;12;16;9;3UTR;;0;0
mmu-miR-132-3p;XM_017320566;Ankrd65;1658;1674;0.846153846154;-19.5;1;1,94E+00;0.471;0.0;0.0;-19.544.040.034.041.100;13;16;8;CDS;;0;0
mmu-miR-132-3p;NM_025570;Mrpl20;480;513;0.846153846154;-20.4;1;0.007502273;0.559;0.0;0.0;-41.706.235.265.052.700;19;33;10;CDS;;0;1
mmu-miR-132-3p;NM_207678;Ccnl2;2355;2394;1.0;-24.5;1;5,67E-01;0.471;0.0;0.0;-51.900.497.996.759.000;17;23;8;3UTR;;0;0
mmu-miR-132-3p;NM_207678;Ccnl2;322;351;0.923076923077;-22.2;1;2,74E+00;0.426;0.0;0.0;-78.606.057.810.956.400;19;29;11;CDS;;0;0
mmu-miR-132-3p;NM_024263;Mxra8;700;743;0.923076923077;-23.0;1;8,10E+01;0.397;0.0;0.0;-6.514.540.193.678.730;17;23;9;CDS;;0;0
mmu-miR-132-3p;NM_010091;Dvl1;1278;1295;0.846153846154;-24.2;1;1,63E+00;0.368;0.0;0.0;-15.964.495.770.024.300;14;17;11;CDS;;0;0
mmu-miR-132-3p;NM_010091;Dvl1;1491;1512;0.846153846154;-23.1;1;4,38E-01;0.309;0.0;0.0;-7.488.945.926.249.840;16;21;6;CDS;;0;0
mmu-miR-132-3p;NM_031872;Tas1r3;2073;2096;0.846153846154;-27.1;1;0.0004650018;0.412;0.0;0.0;-3.937.574.446.201.660;20;23;9;CDS;;0;0
mmu-miR-132-3p;NM_031872;Tas1r3;233;259;0.846153846154;-23.8;1;0.002445042;0.5;0.0;0.0;-77.817.751.947.826.300;19;26;11;CDS;;0;0
mmu-miR-132-3p;NM_001033490;Pusl1;542;561;0.846153846154;-20.0;1;2,84E-03;0.426;0.0;0.0;-1.478.546.436.453.400;15;19;9;CDS;;0;0
mmu-miR-132-3p;NM_001033490;Pusl1;776;793;0.923076923077;-19.0;1;1,50E+00;0.412;0.0;0.0;-9.546.562.468.637.920;14;17;11;CDS;;0;0
mmu-miR-132-3p;NM_207223;Acap3;2760;2796;0.846153846154;-20.3;1;4,25E+00;0.353;0.0;0.0;-6.747.589.273.982.350;18;36;8;CDS;;0;0
mmu-miR-132-3p;NM_021402;Ube2j2;1842;1862;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_001039158;Ube2j2;1679;1699;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_001039157;Ube2j2;1705;1725;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_001039159;Ube2j2;1542;1562;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_001284314;Ube2j2;1461;1481;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_001284312;Ube2j2;1606;1626;0.923076923077;-24.6;1;0.004451334;0.456;0.0;0.0;-12.371.084.972.707.100;16;20;9;3UTR;;0;0
mmu-miR-132-3p;NM_080445;B3galt6;459;480;0.846153846154;-20.4;1;0.000802348;0.368;0.0;0.0;-9.670.276.237.773.080;16;21;11;CDS;;0;0
mmu-miR-132-3p;NM_080445;B3galt6;1102;1140;0.846153846154;-19.4;1;0.001101573;0.5;0.0;0.0;-5.413.129.994.833.450;19;38;7;3UTR;;0;0
mmu-miR-132-3p;NM_011341;Sdf4;906;947;0.846153846154;-23.2;1;5,71E+01;0.441;0.0;0.0;-136.655.996.434.504;16;41;10;CDS;;0;0
mmu-miR-132-3p;NM_011341;Sdf4;2001;2021;0.923076923077;-21.8;1;2,73E+01;0.368;0.0;0.0;-9.572.363.749.392.700;16;20;7;3UTR;;0;0
mmu-miR-132-3p;NM_001302467;Sdf4;698;739;0.846153846154;-23.2;1;5,71E+01;0.441;0.0;0.0;-136.655.996.434.504;16;41;10;CDS;;0;0
mmu-miR-132-3p;NM_001302467;Sdf4;1793;1813;0.923076923077;-21.8;1;2,73E+01;0.368;0.0;0.0;-9.572.363.749.392.700;16;20;7;3UTR;;0;0
mmu-miR-132-3p;NM_001302469;Sdf4;596;637;0.846153846154;-23.2;1;5,71E+01;0.441;0.0;0.0;-136.655.996.434.504;16;41;10;CDS;;0;0
mmu-miR-132-3p;NM_001302468;Sdf4;647;688;0.846153846154;-23.2;1;5,71E+01;0.441;0.0;0.0;-136.655.996.434.504;16;41;10;CDS;;0;0
mmu-miR-132-3p;NM_001302468;Sdf4;1742;1762;0.923076923077;-21.8;1;2,73E+01;0.368;0.0;0.0;-9.572.363.749.392.700;16;20;7;3UTR;;0;0
mmu-miR-132-3p;NM_011659;Tnfrsf4;311;336;0.846153846154;-21.0;1;0.0004064138;0.441;0.0;0.0;-8.303.804.028.968.640;18;25;9;CDS;;0;0
mmu-miR-132-3p;XM_017320113;Tnfrsf18;271;318;0.923076923077;-22.0;1;3,12E-01;0.426;0.0;0.0;-8.058.226.728.550.050;15;19;12;CDS;;0;0
mmu-miR-132-3p;NM_009400;Tnfrsf18;93;140;0.923076923077;-22.0;1;3,12E-01;0.426;0.0;0.0;-8.058.226.728.550.050;15;19;12;CDS;;0;0
mmu-miR-132-3p;NM_021985;Tnfrsf18;93;140;0.923076923077;-22.0;1;3,12E-01;0.426;0.0;0.0;-8.058.226.728.550.050;15;19;12;CDS;;0;0
mmu-miR-132-3p;NM_029264;Ttll10;1547;1576;1.0;-20.7;1;0.02060233;0.515;0.0;0.0;-10.602.952.126.883.600;16;22;11;CDS;;0;0
mmu-miR-132-3p;NM_001220499;Rnf223;1167;1210;0.846153846154;-23.3;1;4,22E+00;0.5;0.0;0.0;-136.655.996.434.504;16;43;9;5UTR;;0;0
mmu-miR-132-3p;NM_021604;Agrn;5734;5764;1.0;-22.2;1;0.005329666;0.412;0.0;0.0;-6.747.589.273.982.350;16;20;11;CDS;;0;0
mmu-miR-132-3p;NM_021604;Agrn;5146;5167;0.846153846154;-21.5;1;2,88E+01;0.426;0.0;0.0;-13.928.624.447.013.600;15;21;6;CDS;;0;0
mmu-miR-132-3p;XM_006538495;Agrn;5902;5921;1.0;-22.3;1;0.005329666;0.412;0.0;0.0;-6.747.589.273.982.350;16;19;11;CDS;;0;0
mmu-miR-132-3p;XM_006538495;Agrn;225;244;0.923076923077;-21.5;1;0.0004553009;0.441;0.0;0.0;-136.655.996.434.504;15;19;6;5UTR;;0;0
mmu-miR-132-3p;XM_006538495;Agrn;5291;5312;0.846153846154;-21.5;1;2,88E+01;0.426;0.0;0.0;-13.928.624.447.013.600;15;21;6;CDS;;0;0
mmu-miR-132-3p;XM_011250177;Agrn;5959;5978;1.0;-22.3;1;0.005329666;0.412;0.0;0.0;-6.747.589.273.982.350;16;19;11;CDS;;0;0
mmu-miR-132-3p;XM_011250177;Agrn;225;244;0.923076923077;-21.5;1;0.0004553009;0.441;0.0;0.0;-136.655.996.434.504;15;19;6;5UTR;;0;0
mmu-miR-132-3p;XM_011250177;Agrn;5291;5312;0.846153846154;-21.5;1;2,88E+01;0.426;0.0;0.0;-13.928.624.447.013.600;15;21;6;CDS;;0;0
mmu-miR-132-3p;NM_198305;Klhl17;1262;1281;0.923076923077;-21.4;1;9,68E+00;0.382;0.0;0.0;-14.401.049.203.701.000;16;19;9;CDS;;0;0
mmu-miR-132-3p;NM_198305;Klhl17;2699;2717;0.846153846154;-19.8;1;3,47E+01;0.515;0.0;0.0;-7.757.046.662.006.910;15;18;9;3UTR;;0;0
mmu-miR-132-3p;NM_001033326;Dhrsx;822;840;0.846153846154;-22.3;1;3,37E+01;0.309;0.0;0.0;-79.900.957.423.105.300;15;18;11;CDS;;0;0
mmu-miR-132-3p;XM_003689246;LOC100862324;766;813;0.923076923077;-22.9;1;5,47E-01;0.441;0.0;0.0;-495.700.071.937.229;17;21;11;CDS;;0;0
mmu-miR-132-3p;XM_001473394;LOC100041593;946;965;0.846153846154;-20.1;1;0.0003943628;0.441;0.0;0.0;-1.490.810.611.177.850;14;19;7;5UTR;;0;0
mmu-miR-132-3p;XM_001473394;LOC100041593;657;678;0.846153846154;-17.7;1;1,34E+01;0.574;0.0;0.0;-67.623.489.216.120.100;18;21;6;5UTR;;0;0
mmu-miR-132-3p;XM_006542759;LOC100861969;1190;1237;0.923076923077;-24.7;1;1,42E+01;0.382;0.0;0.0;-7.757.046.662.006.910;16;19;12;CDS;;0;0
mmu-miR-132-3p;XM_006542759;LOC100861969;1485;1502;0.846153846154;-20.9;1;3,58E+01;0.471;0.0;0.0;-6.432.556.268.004.080;15;17;8;3UTR;;0;0
mmu-miR-132-3p;XM_006542759;LOC100861969;897;913;0.846153846154;-20.4;1;2,19E+00;0.397;0.0;0.0;-881.343.632.025.268;15;16;15;CDS;;0;0
mmu-miR-132-3p;NM_001100596;Gm2002;1440;1487;0.923076923077;-24.7;1;1,42E+01;0.382;0.0;0.0;-7.757.046.662.006.910;16;19;12;CDS;;0;0
mmu-miR-132-3p;NM_001100596;Gm2002;1735;1752;0.846153846154;-20.9;1;3,58E+01;0.471;0.0;0.0;-6.432.556.268.004.080;15;17;8;3UTR;;0;0
mmu-miR-132-3p;NM_001100596;Gm2002;1147;1163;0.846153846154;-20.4;1;2,19E+00;0.397;0.0;0.0;-881.343.632.025.268;15;16;15;CDS;;0;0
mmu-miR-132-3p;XM_001472168;Gm2023;784;818;0.846153846154;-18.9;1;1,37E+00;0.485;0.0;0.0;-10.581.821.137.417.200;14;16;14;3UTR;;0;0
mmu-miR-132-3p;NM_009873;Cdk6;10470;10483;1.0;-20.5;1;2,71E+01;0.618;0.0;0.0;-5.925.499.359.926.530;12;13;12;3UTR;;0;0
mmu-miR-132-3p;NM_001042501;Fam133b;1595;1629;0.923076923077;-21.3;1;0.0006429591;0.529;0.0;0.0;-12.640.789.312.202.700;16;23;9;3UTR;;0;0
mmu-miR-132-3p;NM_001042501;Fam133b;258;276;1.0;-18.1;1;0.00124295;0.632;0.0;0.0;-9.300.733.196.878.230;15;18;8;CDS;;0;0
mmu-miR-132-3p;NM_029843;1700109H08Rik;164;187;0.923076923077;-19.1;1;0.0005446158;0.5;0.0;0.0;-9.046.485.400.556.290;14;16;14;CDS;;0;0
mmu-miR-132-3p;NM_172991;Rbm48;1679;1699;0.846153846154;-21.5;1;3,12E-01;0.412;0.0;0.0;-1.094.744.416.174.930;14;20;10;3UTR;;0;0
mmu-miR-132-3p;NM_172991;Rbm48;1859;1889;0.846153846154;-19.4;1;0.000969977;0.647;0.0;0.0;-8.382.634.615.281.650;18;30;9;3UTR;;0;0
mmu-miR-132-3p;NM_001293806;Pex1;2831;2847;0.923076923077;-22.8;1;0.00106229;0.529;0.0;0.0;-15.141.155.192.082.100;13;16;9;CDS;;0;0
mmu-miR-132-3p;NM_001293806;Pex1;3308;3324;0.923076923077;-21.5;1;3,85E-01;0.456;0.0;0.0;-13.928.624.447.013.600;15;16;15;CDS;;0;0
mmu-miR-132-3p;NM_001293806;Pex1;88;109;0.923076923077;-20.2;1;0.000626323;0.456;0.0;0.0;-79.900.957.423.105.300;16;21;8;5UTR;;0;0
mmu-miR-132-3p;NM_027777;Pex1;2711;2727;0.923076923077;-22.8;1;0.00106229;0.529;0.0;0.0;-15.141.155.192.082.100;13;16;9;CDS;;0;0
mmu-miR-132-3p;NM_027777;Pex1;3188;3204;0.923076923077;-21.5;1;3,85E-01;0.456;0.0;0.0;-13.928.624.447.013.600;15;16;15;CDS;;0;0
mmu-miR-132-3p;NM_027777;Pex1;88;109;0.923076923077;-20.2;1;0.000626323;0.456;0.0;0.0;-79.900.957.423.105.300;16;21;8;5UTR;;0;0
mmu-miR-132-3p;NM_026033;Gatad1;1975;1999;1.0;-22.8;1;2,79E+01;0.485;0.0;0.0;-65.006.872.542.436.000;17;24;6;3UTR;;0;0
mmu-miR-132-3p;NM_026033;Gatad1;2241;2268;1.0;-21.5;1;0.01530248;0.5;0.0;0.0;-9.076.037.894.184.760;18;27;7;3UTR;;0;0
mmu-miR-132-3p;NM_026033;Gatad1;1783;1818;0.923076923077;-19.2;1;0.0001716942;0.529;0.0;0.0;-6.514.540.193.678.730;15;35;9;3UTR;;0;0
mmu-miR-132-3p;NM_029141;Tmbim7;1458;1479;1.0;-23.8;1;0.0008049318;0.647;0.0;0.0;-6.216.710.541.323.610;18;21;13;3UTR;;0;0
mmu-miR-132-3p;NM_029141;Tmbim7;199;215;0.846153846154;-18.4;1;2,19E+01;0.397;0.0;0.0;-840.585.589.311.169;15;16;15;5UTR;;0;0
mmu-miR-132-3p;NM_029154;Tmbim7;1224;1245;1.0;-23.8;1;0.0008049318;0.647;0.0;0.0;-6.216.710.541.323.610;18;21;13;3UTR;;0;0
mmu-miR-132-3p;NM_029154;Tmbim7;199;215;0.846153846154;-18.4;1;2,19E+01;0.397;0.0;0.0;-840.585.589.311.169;15;16;15;5UTR;;0;0
mmu-miR-132-3p;XM_017321125;Tmbim7;23;39;0.846153846154;-18.4;1;9,79E+00;0.397;0.0;0.0;-840.585.589.311.169;15;16;15;5UTR;;0;0
mmu-miR-132-3p;NM_001003909;Ankib1;1970;1988;1.0;-22.1;1;6,67E+01;0.412;0.0;0.0;-7.483.038.834.232.980;14;18;11;CDS;;0;0
mmu-miR-132-3p;NM_001170552;Krit1;3111;3125;1.0;-20.1;0;0.005220266;0.662;0.0;0.0;-2.048.026.952.694.110;12;14;7;3UTR;;0;0
mmu-miR-132-3p;NM_030675;Krit1;3182;3196;1.0;-20.1;0;0.005220266;0.662;0.0;0.0;-2.048.026.952.694.110;12;14;7;3UTR;;0;0
mmu-miR-132-3p;XM_006503617;Krit1;3221;3235;1.0;-20.1;0;0.005220266;0.662;0.0;0.0;-2.048.026.952.694.110;12;14;7;3UTR;;0;0
mmu-miR-132-3p;NM_011074;Cdk14;1398;1418;0.846153846154;-21.8;1;3,70E+01;0.529;0.0;0.0;-13.449.370.242.515.200;15;20;9;CDS;;0;0
mmu-miR-132-3p;NM_011074;Cdk14;4424;4444;1.0;-20.7;1;0.005027527;0.544;0.0;0.0;-136.655.996.434.504;14;20;8;3UTR;;0;0
mmu-miR-132-3p;XM_006503544;Cdk14;1495;1515;0.846153846154;-21.8;1;3,70E+01;0.529;0.0;0.0;-13.449.370.242.515.200;15;20;9;CDS;;0;0
mmu-miR-132-3p;XM_006503544;Cdk14;4521;4541;1.0;-20.7;1;0.005027527;0.544;0.0;0.0;-136.655.996.434.504;14;20;8;3UTR;;0;0
mmu-miR-132-3p;NM_001310448;Cdk14;1638;1658;0.846153846154;-21.8;1;3,70E+01;0.529;0.0;0.0;-13.449.370.242.515.200;15;20;9;CDS;;0;0
mmu-miR-132-3p;NM_001310448;Cdk14;4664;4684;1.0;-20.7;1;0.005027527;0.544;0.0;0.0;-136.655.996.434.504;14;20;8;3UTR;;0;0
mmu-miR-132-3p;XM_006503547;Cdk14;1597;1617;0.846153846154;-21.8;1;3,70E+01;0.529;0.0;0.0;-13.449.370.242.515.200;15;20;9;CDS;;0;0
mmu-miR-132-3p;XM_006503547;Cdk14;4623;4643;1.0;-20.7;1;0.005027527;0.544;0.0;0.0;-136.655.996.434.504;14;20;8;3UTR;;0;0
mmu-miR-132-3p;NM_001193660;Cldn12;92;111;0.846153846154;-20.8;1;3,62E+01;0.294;0.0;0.0;-8.799.583.380.817.550;16;19;11;5UTR;;0;0
mmu-miR-132-3p;XM_006503565;Cfap69;3029;3059;0.846153846154;-20.7;1;0.01703674;0.529;0.0;0.0;-6.199.507.187.700.460;17;30;9;CDS;;0;0
mmu-miR-132-3p;XM_006503565;Cfap69;705;728;1.0;-21.1;1;0.004964727;0.662;0.0;0.0;-9.546.562.468.637.920;14;16;14;5UTR;;0;0
mmu-miR-132-3p;XM_006503565;Cfap69;2513;2561;0.846153846154;-20.5;1;0.002390833;0.632;0.0;0.0;-8.303.804.028.968.640;19;48;10;5UTR;;0;0
mmu-miR-132-3p;NM_172447;Cfap69;1669;1699;0.846153846154;-20.7;1;0.01703674;0.529;0.0;0.0;-6.199.507.187.700.460;17;30;9;CDS;;0;0
mmu-miR-132-3p;NM_172447;Cfap69;1425;1443;1.0;-20.6;1;6,35E+01;0.544;0.0;0.0;-12.694.160.650.812.600;15;18;8;CDS;;0;0
mmu-miR-132-3p;NM_172447;Cfap69;2915;2936;0.846153846154;-20.0;1;0.0006368741;0.456;0.0;0.0;-1.490.810.611.177.850;14;21;6;CDS;;0;0
mmu-miR-132-3p;XM_006503564;Cfap69;1693;1723;0.846153846154;-20.7;1;0.01703674;0.529;0.0;0.0;-6.199.507.187.700.460;17;30;9;CDS;;0;0
mmu-miR-132-3p;XM_006503564;Cfap69;1449;1467;1.0;-20.6;1;6,35E+01;0.544;0.0;0.0;-12.694.160.650.812.600;15;18;8;CDS;;0;0
mmu-miR-132-3p;NM_028734;Steap2;1212;1243;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_001285469;Steap2;1064;1095;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_001285471;Steap2;1029;1060;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_001285471;Steap2;4463;4481;1.0;-21.0;1;0.0001155132;0.559;0.0;0.0;-11.440.458.170.995.600;16;18;8;3UTR;;0;1
mmu-miR-132-3p;NM_001285471;Steap2;1954;1969;0.923076923077;-19.3;1;0.001459459;0.618;0.0;0.0;-136.655.996.434.504;14;15;14;3UTR;;0;1
mmu-miR-132-3p;NM_001285470;Steap2;1029;1060;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_001103156;Steap2;1155;1186;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_001103157;Steap2;1510;1541;1.0;-21.5;1;0.0009580339;0.412;0.0;0.0;-881.343.632.025.268;14;23;9;CDS;;0;1
mmu-miR-132-3p;NM_027399;Steap1;1105;1133;1.0;-21.2;1;0.0009064204;0.574;0.0;0.0;-4.026.373.917.660.730;19;28;9;CDS;;0;0
mmu-miR-132-3p;NM_001163223;Zfp804b;2891;2905;0.923076923077;-17.5;0;0.0004448517;0.544;0.0;0.0;-16.423.398.322.163.800;13;14;13;CDS;;0;0
mmu-miR-132-3p;XM_006503604;4921511H03Rik;724;741;0.961538461538;-19.2;1;1,76E+00;0.574;0.0;0.0;-51.900.497.996.759.000;13;17;8;5UTR;;0;0
mmu-miR-132-3p;NM_025618;Sri;383;407;0.846153846154;-19.2;1;0.001110059;0.529;0.0;0.0;-1.490.810.611.177.850;15;24;7;CDS;;0;0
mmu-miR-132-3p;NM_001080974;Sri;343;367;0.846153846154;-19.2;1;0.001110059;0.529;0.0;0.0;-1.490.810.611.177.850;15;24;7;CDS;;0;0
mmu-miR-132-3p;NM_011076;Abcb1a;1407;1436;0.846153846154;-19.8;1;0.005518649;0.456;0.0;0.0;-495.700.071.937.229;17;29;11;CDS;;0;0
mmu-miR-132-3p;NM_011075;Abcb1b;2696;2715;1.0;-21.5;1;0.001999529;0.529;0.0;0.0;-11.127.071.249.433.300;14;19;9;CDS;;0;0
mmu-miR-132-3p;NM_023733;Crot;2293;2312;0.846153846154;-19.3;1;0.002513699;0.618;0.0;0.0;-866.051.072.386.539;17;19;13;3UTR;;0;0
mmu-miR-132-3p;NM_023733;Crot;1122;1136;1.0;-17.7;1;0.001076946;0.588;0.0;0.0;-8.327.025.306.798.680;12;14;7;CDS;;0;0
mmu-miR-132-3p;NM_172706;9330182L06Rik;562;580;0.923076923077;-20.5;0;0.002264987;0.456;0.0;0.0;-1.597.923.457.263.100;15;18;10;CDS;;0;0
